X,Y
1.09142997741699E+02,1.25580001831055E+02
1.1015747833252E+02,1.25495780944824E+02
1.11171943664551E+02,1.25403984069824E+02
1.12186386108398E+02,1.25305221557617E+02
1.13200790405273E+02,1.2520011138916E+02
1.14215171813965E+02,1.25089263916016E+02
1.15229507446289E+02,1.24973289489746E+02
1.16243797302246E+02,1.2485279083252E+02
1.17258041381836E+02,1.24728385925293E+02
1.1827222442627E+02,1.24600685119629E+02
1.19286354064941E+02,1.2447029876709E+02
1.20300415039063E+02,1.24337829589844E+02
1.21314407348633E+02,1.24203903198242E+02
1.22328315734863E+02,1.24069122314453E+02
1.23342147827148E+02,1.23934104919434E+02
1.24355895996094E+02,1.23799453735352E+02
1.2536954498291E+02,1.2366577911377E+02
1.26383102416992E+02,1.2353369140625E+02
1.27396553039551E+02,1.2340380859375E+02
1.28409896850586E+02,1.23276741027832E+02
1.29423126220703E+02,1.23153091430664E+02
1.30436233520508E+02,1.23033477783203E+02
1.31449234008789E+02,1.22918510437012E+02
1.3246208190918E+02,1.22808799743652E+02
1.33474807739258E+02,1.22704948425293E+02
1.34487396240234E+02,1.22607582092285E+02
1.3549983215332E+02,1.22517303466797E+02
1.36512130737305E+02,1.22434715270996E+02
1.37524261474609E+02,1.22360450744629E+02
1.38536239624023E+02,1.22295097351074E+02
1.39548034667969E+02,1.22239280700684E+02
1.40559677124023E+02,1.22193603515625E+02
1.41571136474609E+02,1.22158683776855E+02
1.42582412719727E+02,1.22135124206543E+02
1.43593490600586E+02,1.22123542785645E+02
1.44604400634766E+02,1.22124549865723E+02
1.45615097045898E+02,1.22138748168945E+02
1.46625595092773E+02,1.2216675567627E+02
1.47635879516602E+02,1.22209190368652E+02
1.48645950317383E+02,1.22266647338867E+02
1.49655807495117E+02,1.22339744567871E+02
1.50665435791016E+02,1.22429100036621E+02
1.51674835205078E+02,1.22535308837891E+02
1.52684005737305E+02,1.22658996582031E+02
1.5370085144043E+02,1.22802284240723E+02
1.54714401245117E+02,1.22964057922363E+02
1.5572444152832E+02,1.23144142150879E+02
1.56730773925781E+02,1.23342323303223E+02
1.57733169555664E+02,1.2355842590332E+02
1.58731399536133E+02,1.2379224395752E+02
1.59725280761719E+02,1.24043601989746E+02
1.60714584350586E+02,1.24312286376953E+02
1.61699111938477E+02,1.24598121643066E+02
1.62678619384766E+02,1.24900901794434E+02
1.63652908325195E+02,1.2522045135498E+02
1.64621765136719E+02,1.2555655670166E+02
1.65584991455078E+02,1.25909042358398E+02
1.66542343139648E+02,1.26277709960938E+02
1.67493621826172E+02,1.2666236114502E+02
1.68438629150391E+02,1.27062805175781E+02
1.6937712097168E+02,1.27478858947754E+02
1.70308898925781E+02,1.2791032409668E+02
1.71233749389648E+02,1.28356994628906E+02
1.72151458740234E+02,1.28818710327148E+02
1.73061813354492E+02,1.2929524230957E+02
1.73964599609375E+02,1.29786422729492E+02
1.74859588623047E+02,1.30292037963867E+02
1.75746597290039E+02,1.30811920166016E+02
1.76625381469727E+02,1.31345855712891E+02
1.77495742797852E+02,1.31893661499023E+02
1.78357467651367E+02,1.32455139160156E+02
1.79210327148438E+02,1.33030120849609E+02
1.80054122924805E+02,1.33618377685547E+02
1.80888641357422E+02,1.342197265625E+02
1.81713668823242E+02,1.34833984375E+02
1.82528991699219E+02,1.35460968017578E+02
1.83334381103516E+02,1.36100463867188E+02
1.84129623413086E+02,1.36752288818359E+02
1.84914535522461E+02,1.37416244506836E+02
1.85688873291016E+02,1.38092147827148E+02
1.86452438354492E+02,1.38779800415039E+02
1.87205001831055E+02,1.3947900390625E+02
1.87946502685547E+02,1.40189392089844E+02
1.88676971435547E+02,1.40910568237305E+02
1.89396377563477E+02,1.41642364501953E+02
1.90104721069336E+02,1.42384552001953E+02
1.90801956176758E+02,1.43136947631836E+02
1.91488052368164E+02,1.43899353027344E+02
1.92162979125977E+02,1.4467155456543E+02
1.92826736450195E+02,1.45453369140625E+02
1.93479263305664E+02,1.46244598388672E+02
1.94120544433594E+02,1.47045028686523E+02
1.94750564575195E+02,1.47854476928711E+02
1.95369293212891E+02,1.48672729492188E+02
1.95976684570313E+02,1.49499603271484E+02
1.96572738647461E+02,1.50334899902344E+02
1.97157409667969E+02,1.51178405761719E+02
1.97730667114258E+02,1.52029922485352E+02
1.98292495727539E+02,1.52889266967773E+02
1.98842864990234E+02,1.53756240844727E+02
1.99381744384766E+02,1.54630630493164E+02
1.99909118652344E+02,1.55512237548828E+02
2.00424942016602E+02,1.5640087890625E+02
2.00929214477539E+02,1.57296340942383E+02
2.01421875E+02,1.58198425292969E+02
2.01902923583984E+02,1.59106948852539E+02
2.02372314453125E+02,1.60021697998047E+02
2.02830032348633E+02,1.60942474365234E+02
2.0327604675293E+02,1.61869094848633E+02
2.03710327148438E+02,1.62801345825195E+02
2.04132858276367E+02,1.63739028930664E+02
2.04543594360352E+02,1.64681945800781E+02
2.04942520141602E+02,1.65629898071289E+02
2.05329605102539E+02,1.66582702636719E+02
2.05704833984375E+02,1.67540145874023E+02
2.06068161010742E+02,1.68502029418945E+02
2.06419570922852E+02,1.69468154907227E+02
2.06759033203125E+02,1.70438323974609E+02
2.07086517333984E+02,1.71412338256836E+02
2.07401992797852E+02,1.72389999389648E+02
2.07717407226563E+02,1.73412338256836E+02
2.08019271850586E+02,1.74440246582031E+02
2.08306671142578E+02,1.75473342895508E+02
2.0857861328125E+02,1.76511199951172E+02
2.08834182739258E+02,1.77553451538086E+02
2.09072418212891E+02,1.78599700927734E+02
2.09292373657227E+02,1.79649551391602E+02
2.09493087768555E+02,1.80702621459961E+02
2.09673614501953E+02,1.81758499145508E+02
2.09833023071289E+02,1.82816802978516E+02
2.09970336914063E+02,1.83877151489258E+02
2.10084625244141E+02,1.8493913269043E+02
2.10174926757813E+02,1.86002365112305E+02
2.10240295410156E+02,1.87066452026367E+02
2.1027978515625E+02,1.88130996704102E+02
2.10292434692383E+02,1.89195602416992E+02
2.10277313232422E+02,1.90259902954102E+02
2.10233459472656E+02,1.91323486328125E+02
